draft_year,round,pick,overall,player_name_raw,nba_player_id,matched_athlete_id,final_college_season,years_in_college,min_start_season,position,conference,conf_tier,pick_overall,log_pick,birthdate,age_at_draft
2025,1,1,1,Cooper Flagg,1642843.0,205.0,2025.0,1.0,2025,F,ACC,True,1,0.0,2006-12-21,18.510609171800137
2025,1,2,2,Dylan Harper,1642844.0,7871.0,2025.0,1.0,2025,G,Big Ten,True,2,0.6931471805599453,2006-03-02,19.315537303216974
2025,1,3,3,VJ Edgecombe,1642845.0,158.0,2025.0,1.0,2025,G,Big 12,True,3,1.0986122886681098,2005-07-30,19.904175222450377
2025,1,4,4,Kon Knueppel,1642851.0,206.0,2025.0,1.0,2025,G,ACC,True,4,1.3862943611198906,2005-08-03,19.89322381930185
2025,1,5,5,Ace Bailey,1642846.0,7882.0,2025.0,1.0,2025,G,Big Ten,True,5,1.6094379124341003,2006-08-13,18.86652977412731
2025,1,6,6,Tre Johnson,1642848.0,435.0,2025.0,1.0,2025,G,SEC,True,6,1.791759469228055,2006-03-07,19.301848049281315
2025,1,7,7,Jeremiah Fears,1642847.0,6244.0,2025.0,1.0,2025,G,SEC,True,7,1.9459101490553132,2006-10-14,18.69678302532512
2025,1,8,8,Egor Demin,1642856.0,7675.0,2025.0,1.0,2025,,Big 12,True,8,2.0794415416798357,2006-03-03,19.312799452429843
2025,1,9,9,Collin Murray-Boyles,1642867.0,3204.0,2025.0,2.0,2024,F,SEC,True,9,2.1972245773362196,2005-06-10,20.041067761806982
2025,1,10,10,Khaman Maluach,1642863.0,204.0,2025.0,1.0,2025,C,ACC,True,10,2.302585092994046,2006-09-14,18.77891854893908
2025,1,13,13,Derik Queen,1642852.0,3288.0,2025.0,1.0,2025,C,Big Ten,True,13,2.5649493574615367,2004-12-27,20.49281314168378
2025,1,14,14,Carter Bryant,1642868.0,271.0,2025.0,1.0,2025,F,Big 12,True,14,2.6390573296152584,2005-11-26,19.578370978781656
2025,1,18,18,Walter Clayton Jr.,1642383.0,499.0,2025.0,4.0,2022,G,SEC,True,18,2.8903717578961645,2003-03-06,22.305270362765228
2025,1,20,20,Kasparas Jakucionis,1642857.0,5641.0,2025.0,1.0,2025,G,Big Ten,True,20,2.995732273553991,2006-05-29,19.07460643394935
2025,1,21,21,Will Riley,1642860.0,5645.0,2025.0,1.0,2025,G,Big Ten,True,21,3.044522437723423,2006-02-10,19.370294318959616
2025,1,22,22,Drake Powell,1642962.0,242.0,2025.0,1.0,2025,G,ACC,True,22,3.091042453358316,2005-09-08,19.794661190965094
2025,1,23,23,Asa Newell,1642854.0,20.0,2025.0,1.0,2025,F,SEC,True,23,3.1354942159291497,2005-10-05,19.720739219712527
2025,1,24,24,Nique Clifford,1642363.0,6788.0,2025.0,5.0,2021,G,Mountain West,False,24,3.1780538303479458,2002-02-09,23.37303216974675
2025,1,25,25,Jase Richardson,1642859.0,2479.0,2025.0,1.0,2025,G,Big Ten,True,25,3.2188758248682006,2005-10-16,19.690622861054074
2025,1,27,27,Danny Wolf,1642874.0,5608.0,2025.0,3.0,2023,F,Big Ten,True,27,3.295836866004329,2004-05-05,21.138945927446954
2025,1,29,29,Liam McNeeley,1642862.0,7791.0,2025.0,1.0,2025,G,Big East,True,29,3.367295829986474,2005-10-10,19.707049965776864
2025,1,30,30,Yanic Konan Niederhauser,1642949.0,4124.0,2025.0,3.0,2023,C,Big Ten,True,30,3.4011973816621555,2003-03-14,22.28336755646817
2025,2,1,31,Rasheer Fleming,1642853.0,3518.0,2025.0,3.0,2023,F,A-10,False,31,3.4339872044851463,2004-07-10,20.958247775496236
2025,2,3,33,Sion James,1642883.0,213.0,2025.0,5.0,2021,F,ACC,True,33,3.4965075614664802,2002-12-04,22.55715263518138
2025,2,4,34,Ryan Kalkbrenner,1641750.0,7806.0,2025.0,5.0,2021,C,Big East,True,34,3.5263605246161616,2002-01-17,23.43600273785079
2025,2,8,38,Kam Jones,1642880.0,401.0,2025.0,4.0,2022,G,Big East,True,38,3.6375861597263857,2002-02-25,23.329226557152634
2025,2,10,40,Micah Peavy,1642877.0,8176.0,2025.0,5.0,2021,G,Big East,True,40,3.6888794541139363,2001-07-16,23.942505133470227
2025,2,12,42,Maxime Raynaud,1642875.0,907.0,2025.0,4.0,2022,C,ACC,True,42,3.7376696182833684,2003-04-07,22.217659137577
2025,2,13,43,Jamir Watkins,1642364.0,3104.0,2025.0,5.0,2021,G,ACC,True,43,3.7612001156935624,2001-07-06,23.969883641341546
2025,2,14,44,Brooks Barnhizer,1642964.0,5461.0,2025.0,4.0,2022,F,Big Ten,True,44,3.784189633918261,2002-03-02,23.315537303216974
2025,2,18,48,Javon Small,1642914.0,3320.0,2025.0,4.0,2022,G,Big 12,True,48,3.871201010907891,2002-12-19,22.5160848733744
