draft_year,round,pick,overall,player_name_raw,nba_player_id,matched_athlete_id,final_college_season,years_in_college,min_start_season,position,conference,conf_tier,pick_overall,log_pick,birthdate,age_at_draft,c_alpha_0,c_alpha_1,c_alpha_2,c_alpha_3,c_alpha_4,c_alpha_5,c_alpha_6,c_alpha_7,c_argmax,c_alpha_max,PORPAG,PLAYER_HEIGHT_INCHES,PTS_PER_100,TS%,USG%,AST%,TOV%,STL%,BLK%,TRB%,FTr,% of FG Ast'd_2P,% of FG Ast'd_3P,PLAYER_HEIGHT_INCHES_z,PTS_PER_100_z,TS%_z,USG%_z,AST%_z,TOV%_z,STL%_z,BLK%_z,TRB%_z,FTr_z,% of FG Ast'd_2P_z,% of FG Ast'd_3P_z,rim_finishing_share,three_pt_jumper_share
2025,1,1,1,Cooper Flagg,1642843.0,205.0,2025.0,1.0,2025,F,ACC,True,1,0.0,2006-12-21,18.510609171800137,0.0,0.0,0.0271539079334283,0.0,0.2116340916135198,0.212724485596019,0.5484875148570327,0.0,6,0.5484875148570327,6.0,81.0,0.3806962979484447,0.6,0.308,0.2664621365899459,0.1166407465007776,0.0273523314458987,0.0487823182858643,0.1419049582314888,0.429,0.3081081081081081,0.8269230769230769,1.103923781315056,2.5242610077105163,0.7799076843123722,2.2745221511617246,1.9440320731194818,-0.6208782844640652,0.8006871011633115,1.3521526659866796,1.2764226768779618,0.5729830580312772,-0.3437989748666045,0.2353986015823509,0.4,0.2727272727272727
2025,1,2,2,Dylan Harper,1642844.0,7871.0,2025.0,1.0,2025,G,Big Ten,True,2,0.6931471805599453,2006-03-02,19.315537303216978,0.0399014085152053,0.0,0.0361359720314073,0.0304685427647093,0.1432308987587114,0.466268180929765,0.2388156628340438,0.0451793341661578,5,0.466268180929765,4.7,78.0,0.3567326119387793,0.594,0.289,0.2701815543601358,0.1284592233722381,0.0266384778012685,0.0192224378747443,0.0797359912456483,0.419,0.1555555555555555,0.4897959183673469,0.18996091042109764,2.1530783266000677,0.6832418834349324,1.8929047941634451,1.9959715001646208,-0.3779591912501289,0.7189367102458822,-0.023388146825783874,-0.3401966979269375,0.5101948914544108,-1.133975617988507,-0.8390148404448359,0.40992167101827676,0.3785900783289817
2025,1,3,3,VJ Edgecombe,1642845.0,158.0,2025.0,1.0,2025,G,Big 12,True,3,1.0986122886681098,2005-07-30,19.904175222450377,0.0329852568511393,0.0083977101311988,0.0169819315982817,0.100909649034409,0.4983595669962199,0.0540375424740358,0.2483813615866187,0.0399469813280964,4,0.4983595669962199,3.9,77.0,0.2806914151304163,0.558,0.24,0.1926206094488028,0.1261133443682509,0.0386758722426976,0.0231696014828544,0.1020992259242376,0.373,0.3333333333333333,0.8653846153846154,-0.11469337987688849,0.9752471993356185,0.10324707817029555,0.9087337155889361,0.9128796592691782,-0.42617680902237287,2.097456955420081,0.16028934314677534,0.2413287836360809,0.221369325200825,-0.21313984490156573,0.35797429112678,0.3359580052493438,0.4015748031496063
2025,1,4,4,Kon Knueppel,1642851.0,206.0,2025.0,1.0,2025,G,ACC,True,4,1.3862943611198906,2005-08-03,19.89322381930185,0.0711125653410028,0.0,0.0,0.1725542435498475,0.0913353389164784,0.1503678185204277,0.2300204168792006,0.2846096167930428,7,0.2846096167930428,4.9,79.0,0.2890474742408505,0.648,0.214,0.15797333797701,0.1069254811646652,0.0205122136425944,0.0055972157439632,0.0761387492295707,0.3389999999999999,0.2061855670103092,0.9285714285714286,0.49461520071908377,1.10467738895158,1.5532340913318903,0.38652049022287005,0.4290513990115471,-0.8205675905776343,0.017358041281479334,-0.6574248500823543,-0.4337380807261367,0.00788955883947842,-0.8717272857047261,0.5593486382354844,0.29894179894179895,0.5476190476190477
2025,1,5,5,Ace Bailey,1642846.0,7882.0,2025.0,1.0,2025,G,Big Ten,True,5,1.6094379124341005,2006-08-13,18.86652977412731,0.0,0.1055884526086871,0.0693381758255251,0.0,0.1135122032307133,0.0375467559568132,0.4770569883489448,0.1969574240293163,6,0.4770569883489448,3.0,82.0,0.3150151086877359,0.54,0.2739999999999999,0.0825193443714119,0.1110949224156771,0.0179820179820179,0.0406069340495569,0.1218143004322926,0.243,0.3642384105960264,0.7391304347826086,1.408578071613042,1.5068999924443542,-0.18675032446202378,1.5916279333753287,-0.6246181369981793,-0.7348681473312368,-0.2723995104318894,0.971718965949312,0.7539924640974749,-0.5948768402984393,-0.05306077838810775,-0.04439373324732348,0.21462264150943397,0.3089622641509434
2025,1,6,6,Tre Johnson,1642848.0,435.0,2025.0,1.0,2025,G,SEC,True,6,1.791759469228055,2006-03-07,19.301848049281315,0.0,0.0,0.0,0.0,0.0346584673428584,0.3670273910538216,0.2541612407874677,0.3441529008158522,5,0.3670273910538216,4.5,78.0,0.3500978322530944,0.56,0.294,0.1651862804909574,0.0927299703264094,0.0165010315956145,0.0096092161857096,0.0520412658132364,0.2689999999999999,0.16,0.6818181818181818,0.18996091042109764,2.050309691119016,0.13546901179610882,1.99333041442615,0.5297757931590814,-1.1123446662568934,-0.44200180488341906,-0.4707302399591089,-1.0603603404101114,-0.431627607198587,-1.110954723661333,-0.22704604533526676,0.1746987951807229,0.43373493975903615
2025,1,7,7,Jeremiah Fears,1642847.0,6244.0,2025.0,1.0,2025,G,SEC,True,7,1.9459101490553132,2006-10-14,18.69678302532512,0.1414208960216121,0.0,0.0,0.0,0.209616118899037,0.4363109806475834,0.2126520044317674,0.0,5,0.4363109806475834,3.2,76.0,0.3279967854521786,0.57,0.314,0.2866451080640014,0.1854219948849104,0.0315067994453214,0.0046065545173872,0.0826993738032396,0.518,0.1830985915492957,0.6052631578947368,-0.4193476701748746,1.7079781398041365,0.2965786799251733,2.3950328954769704,2.2258751031852597,0.792863830473228,1.2764560288161153,-0.7035243244331881,-0.2631379676660323,1.1317977405653892,-0.9913109207496853,-0.47102445131843584,0.43614457831325304,0.3228915662650602
2025,1,8,8,Egor Demin,1642856.0,7675.0,2025.0,1.0,2025,,Big 12,True,8,2.0794415416798357,2006-03-03,19.312799452429843,0.1855824461278186,0.1282599307332809,0.0362497461058865,0.0,0.1381414883705347,0.3959915917418661,0.115774796920613,0.0,5,0.3959915917418661,1.9,81.0,0.2344994117164199,0.513,0.253,0.3577873356579786,0.22091646169263,0.0255248012852725,0.0176976540038173,0.0852683004907292,0.268,0.1686746987951807,0.6829268292682927,1.103923781315056,0.2597616239464756,-0.6217464284105028,1.1698403282719694,3.219333426033831,1.5224234670338972,0.5913986760520564,-0.09434250848109173,-0.19633652545460037,-0.43790642385627293,-1.0660223756974523,-0.22351282146813212,0.3079470198675497,0.5033112582781457
2025,1,9,9,Collin Murray-Boyles,1642867.0,3204.0,2025.0,2.0,2024,F,SEC,True,9,2.1972245773362196,2005-06-10,20.041067761806985,0.078292851230123,0.0,0.0377215918379645,0.0323543773959884,0.268196658525122,0.0,0.5834345210108017,0.0,6,0.5834345210108017,4.1,79.0,0.3434117318734301,0.639,0.266,0.2103370729414156,0.156400384985563,0.0298844841217421,0.0470723014256619,0.1625890501602688,0.556,0.4886363636363636,1.0,0.49461520071908377,1.9467461298164523,1.4082353900157307,1.4309469409550026,1.1602793922186296,0.19634845568899364,1.0906687699128597,1.2725786640255294,1.8142843365373102,1.370392773557482,0.5912834511900091,0.7869892045322806,0.6838709677419355,0.10967741935483871
2025,1,10,10,Khaman Maluach,1642863.0,204.0,2025.0,1.0,2025,C,ACC,True,10,2.302585092994046,2006-09-14,18.77891854893908,0.0,0.0,0.3924358156232447,0.3308242732289768,0.0,0.0,0.2767399111477783,0.0,2,0.3924358156232447,3.1,86.0,0.2460570140373973,0.745,0.161,0.0409516138168866,0.121150539315304,0.0051354764071416,0.0680645740831044,0.179450396234818,0.4029999999999999,0.76,1.0,2.627195232804987,0.43878173858904124,3.1159978721838315,-0.677991084561803,-1.2050864365994143,-0.5281831941404593,-1.7435831397137551,2.249434029892865,2.252740692995913,0.4097338249314239,1.996866010507093,0.7869892045322806,0.7692307692307693,0.08791208791208792
